Plx,Gmag,BP-RP
6.8719,17.1024,3.1367
6.8870,15.7397,3.0351
6.8936,15.4241,2.5558
6.8976,16.8351,2.9201
6.9003,16.5610,2.9871
6.9005,17.7415,3.2659
6.9108,17.3408,3.1015
6.9168,16.1345,2.8637
6.9179,15.7374,2.6845
6.9251,14.9798,2.4002
6.9279,15.7978,2.6754
6.9287,16.2572,3.2131
6.9309,17.7854,3.4265
6.9344,13.9716,2.0906
6.9395,16.7999,3.1284
6.9414,17.6486,3.2201
6.9460,15.9011,2.7849
6.9552,9.7032,0.7574
6.9630,16.0062,2.8040
6.9667,7.5112,0.1410
6.9669,10.6994,1.0753
6.9676,13.4703,1.7025
6.9721,17.2609,3.2951
6.9723,16.7661,3.1085
6.9778,17.7214,3.3105
6.9801,16.3488,2.9054
6.9814,17.2237,2.9743
6.9820,17.0149,2.5486
6.9846,17.9480,3.3399
6.9860,16.6159,3.0351
6.9862,17.4498,3.1383
6.9890,12.2439,1.4993
6.9893,17.3645,2.2008
6.9898,16.6089,2.8568
6.9900,17.9130,3.2694
6.9927,8.2013,0.5101
6.9965,17.0075,3.1193
6.9980,13.4081,1.6880
6.9997,15.6113,2.6244
7.0010,17.3208,3.1904
7.0023,17.9205,3.3974
7.0028,11.7480,1.1268
7.0040,16.9381,3.1070
7.0084,16.8486,3.1067
7.0096,17.1352,3.0367
7.0116,17.4036,3.5236
7.0116,17.2269,1.4050
7.0132,15.9436,2.9825
7.0144,16.9285,3.1452
7.0145,17.3388,3.2980
7.0159,16.8949,3.1631
7.0163,14.3560,2.1364
7.0219,17.8632,3.6715
7.0221,13.7703,1.8127
7.0286,10.2189,0.8059
7.0348,16.7641,2.9624
7.0371,11.8450,1.2905
7.0403,6.5890,-0.0248
7.0405,8.7442,0.4915
7.0420,11.3588,1.2572
7.0439,13.8692,1.9627
7.0447,17.6676,3.1931
7.0455,17.0891,3.1517
7.0460,11.9884,1.2143
7.0507,16.2398,2.7189
7.0511,17.5686,3.2653
7.0521,16.3269,3.0892
7.0535,16.4749,2.8738
7.0535,7.2563,0.1056
7.0549,16.4171,3.1420
7.0567,9.3543,0.6710
7.0586,16.5210,3.1492
7.0598,6.7870,0.0451
7.0613,16.9580,2.8989
7.0652,17.6255,3.2385
7.0699,6.7892,0.0654
7.0699,17.8959,3.1575
7.0720,12.6202,1.6834
7.0725,16.7248,3.0972
7.0728,17.5793,3.1649
7.0730,16.2340,2.8718
7.0730,15.6744,2.9743
7.0731,14.6172,2.3609
7.0732,15.7643,2.9036
7.0745,17.7321,3.2902
7.0749,17.7185,3.2002
7.0751,16.0024,3.0703
7.0763,14.1857,2.0973
7.0783,8.2577,0.3537
7.0793,16.8623,3.1164
7.0806,16.5416,3.0092
7.0817,17.5792,3.1891
7.0825,17.2872,3.1447
7.0826,15.5717,2.5907
7.0827,15.9248,2.7506
7.0831,16.1209,2.8579
7.0847,16.7985,3.0486
7.0861,17.5501,3.1221
7.0886,17.8159,3.3077
7.0900,9.8065,0.7181
7.0901,16.1514,2.8904
7.0903,17.4389,3.1469
7.0915,9.3353,0.6476
7.0919,15.7465,2.5201
7.0937,16.7430,2.9337
7.0952,16.2358,2.6450
7.0956,17.7911,3.3022
7.0959,9.9861,0.7459
7.0964,16.9650,3.0995
7.0967,12.2947,1.2866
7.0978,14.4017,2.1691
7.0987,15.0618,2.4873
7.0992,15.7350,2.6780
7.0998,15.5252,2.5934
7.1025,16.5642,2.9292
7.1026,15.8056,2.6674
7.1053,10.7203,0.9087
7.1053,15.9948,2.7480
7.1061,17.8079,2.9615
7.1062,15.0656,2.4576
7.1115,15.0871,2.4524
7.1149,16.5776,2.9823
7.1163,17.0908,3.0751
7.1174,13.1488,1.9317
7.1183,15.7507,2.7328
7.1185,10.3610,1.1352
7.1188,11.4698,1.0635
7.1206,15.5451,2.7130
7.1216,15.6992,2.6906
7.1221,10.9291,0.9570
