P,m
14.38160,14.746
1.02945,18.310
9.44995,14.800
1.37251,17.463
1.22233,17.855
1.34096,17.565
1.41458,17.703
1.38818,17.989
1.22545,17.798
8.49466,15.153
1.12895,18.079
1.42301,17.688
36.93460,13.865
1.26919,17.639
2.10287,17.122
2.13118,17.168
2.11317,17.226
1.36891,17.863
1.21625,17.852
3.48910,16.450
17.93840,14.124
1.26530,17.649
1.21624,17.850
1.27438,17.979
1.47203,17.364
1.65263,17.060
1.88309,17.331
28.44010,14.062
10.33330,14.917
3.76261,16.739
1.73097,17.019
17.46250,14.720
10.28820,15.299
2.23258,17.154
2.24815,16.534
2.01782,17.193
13.47880,14.779
3.16803,16.714
1.91339,17.446
1.62155,17.146
1.47941,17.627
4.91551,15.878
13.09560,14.729
2.30616,16.803
1.47401,17.826
1.63027,17.491
1.46178,17.774
1.46662,17.612
1.52691,17.322
0.98237,18.441
12.41300,15.057
4.38857,16.376
2.02482,17.136
16.73880,14.505
10.68250,15.128
2.47456,16.693
2.40537,17.172
2.31577,16.960
1.45565,17.526
8.84122,15.475
1.30514,17.830
1.68509,17.516
3.16520,16.529
1.81207,17.473
2.16630,16.883
1.99880,16.793
1.45820,17.770
1.27595,17.740
1.47753,17.430
1.65175,17.645
1.39003,17.546
2.06634,17.390
1.72017,17.672
2.74747,16.411
1.56609,17.512
1.75429,17.281
1.38054,17.554
8.39701,15.279
4.26218,16.396
1.29508,17.906
1.74621,17.710
2.31584,16.973
1.08234,18.182
6.22889,15.964
2.18975,17.224
1.85081,16.509
3.24153,16.502
2.01134,16.909
1.99087,17.334
1.73099,17.348
1.61426,17.618
1.18840,17.916
6.30786,16.015
1.51254,17.544
2.00820,17.181
1.30000,17.748
2.54151,16.847
1.65111,17.662
1.31250,18.029
1.34458,17.715
1.58771,17.260
1.75421,17.302
2.16630,17.112
1.37356,17.605
31.93090,13.750
10.71290,15.249
10.52670,15.385
14.42880,15.126
4.89677,15.896
1.93320,17.380
15.77290,15.185
2.13803,17.557
10.88290,15.253
3.90947,16.163
2.43198,16.995
1.95386,17.391
4.65421,16.076
3.26238,16.557
1.85400,17.385
1.57204,17.641
1.61079,17.625
1.60311,17.684
1.37984,17.744
13.70690,14.928
1.72305,17.153
1.61093,17.497
1.69913,17.210
1.98746,17.050
1.25641,17.691
2.40342,17.017
1.44507,17.469
2.18159,17.105
1.20545,17.813
5.79395,16.079
1.63850,17.656
2.05630,17.054
7.72160,15.566
2.45025,17.046
1.37192,17.737
1.21766,17.649
3.07164,17.181
1.33880,18.356
8.86036,15.458
2.47351,17.155
2.17576,17.278
1.48916,17.671
1.96933,17.205
1.87848,17.577
1.76733,17.496
1.55665,17.536
1.47518,17.789
1.29470,17.853
8.06115,15.178
2.02003,17.506
1.67162,17.545
1.81122,17.583
1.90993,17.061
1.98760,17.209
2.02656,16.925
1.57900,17.663
1.90354,16.699
2.14759,17.439
1.31829,17.656
1.40078,17.615
1.46884,17.733
1.57936,17.657
1.67772,17.673
1.31300,17.971
3.04334,16.814
1.61750,17.478
2.29836,16.974
1.59255,17.484
1.24404,17.915
8.67071,15.790
10.48680,15.414
9.14502,16.025
1.85910,17.319
1.58062,17.601
1.64819,17.698
1.54745,17.183
1.68551,18.145
4.51151,15.893
4.50592,16.516
4.34088,16.123
2.74444,17.050
1.43797,17.501
2.59920,17.605
1.93489,17.308
1.40272,17.448
1.21110,18.392
3.91101,16.267
1.71896,18.694
