Gmag,BP-RP
17.5484,1.2529
15.0489,0.8743
15.3079,0.8910
15.3692,0.8470
17.8515,1.3244
10.0511,2.1862
15.6409,0.9122
17.3207,0.9914
14.9700,0.8800
16.2981,0.9875
17.2698,1.1846
16.5998,1.0291
16.7986,1.1136
17.0289,1.1357
15.5506,0.9021
17.5909,1.2488
17.2792,1.1771
14.9428,1.1654
15.8311,0.8887
15.6490,0.8942
15.6196,1.2147
14.8391,0.9103
14.7952,0.9114
16.9129,1.0950
17.5277,1.2818
16.2700,0.9923
15.3551,0.8963
17.8346,1.4056
14.8786,1.0776
17.7188,1.3353
12.3441,1.3853
15.8147,0.8795
15.9003,0.9154
16.7538,1.1493
16.0464,0.9252
15.8467,0.8416
16.7352,1.0475
17.8872,1.2986
17.0550,1.1216
15.7128,0.8837
16.7410,1.0867
17.2269,1.2357
14.8776,1.0661
17.3637,1.3576
17.3455,1.1714
17.1314,1.2605
17.8459,1.6154
16.3965,1.0005
17.3946,1.2254
13.1857,1.3178
12.1508,1.3601
16.5831,1.0761
13.9743,1.2762
17.8566,1.3889
15.6250,0.9284
16.4079,1.0329
14.8501,0.9035
17.3966,1.2326
17.6010,1.3025
15.3367,0.8982
16.7181,1.0703
17.1558,1.1786
15.9332,0.9343
15.8384,0.9256
17.5534,1.3221
15.3374,0.8989
16.8996,1.1094
17.2428,1.2421
16.4392,0.9939
11.0747,1.7957
16.5683,1.0774
15.2292,0.8801
15.5502,0.9342
15.2738,0.9028
14.8183,1.0189
15.9308,1.0602
15.2191,0.8999
17.0082,1.1457
15.8956,0.9425
16.3498,0.9828
17.3093,1.1951
16.3845,1.0715
16.9384,1.1040
16.3944,0.9969
17.7600,1.3678
15.8758,0.9075
15.5357,0.9235
17.8557,1.3387
15.0119,0.8161
14.3729,1.2492
15.8255,0.9599
16.1204,1.0474
15.5607,0.9331
17.1542,1.1553
15.6292,0.9159
15.9622,0.9888
16.8885,1.0887
16.1505,0.9920
17.7780,1.3654
15.0467,0.9023
15.4170,0.8963
16.8084,1.0887
16.3626,1.0709
16.3112,1.0099
15.9781,0.9605
14.4358,0.8386
17.3360,1.1489
16.2756,1.0610
16.5522,1.0277
15.4303,0.9791
16.8742,1.1129
17.2546,1.2284
12.3275,1.5014
16.4028,1.0175
16.0782,0.9798
15.1743,0.8925
17.4507,1.2225
16.2499,0.9512
16.6642,1.0389
17.2693,1.1826
17.0444,1.1694
15.3736,0.9004
15.1577,0.9690
16.1818,0.9865
17.3012,1.2259
14.0071,1.3388
16.4122,1.0239
12.1527,1.3995
16.4662,0.9978
11.8493,1.2163
15.9097,0.9685
14.8121,1.0050
16.1019,0.9838
15.2375,1.0595
16.9647,1.0513
15.4111,1.0283
16.7704,1.1145
16.6535,1.0449
16.9718,1.0820
14.8653,0.7994
15.8520,0.8850
16.5893,1.0403
16.7546,1.0409
15.1965,0.8766
16.3988,0.9644
16.4159,1.0442
17.6199,1.3028
17.5849,1.4931
14.8512,0.9043
14.9644,0.8913
14.8223,0.9236
15.3783,0.8748
14.8903,0.9042
16.1244,0.9847
14.8804,1.1759
14.7700,1.1485
15.6862,0.8750
14.6880,0.9296
15.7195,0.9161
15.6452,0.8846
14.9300,0.8755
13.2413,0.7294
16.1278,0.9400
14.4837,0.8945
16.4643,1.1562
17.4088,1.2017
15.2863,0.8058
16.1513,1.0448
14.7632,0.8986
16.5397,0.9904
16.1823,0.9840
15.7250,0.9016
15.5469,0.8689
16.5327,1.0181
15.3355,0.9025
15.7145,0.9140
17.7398,1.3516
15.1507,0.9162
14.4012,0.8050
17.6551,1.5181
16.6841,1.1593
15.4243,0.8738
14.8373,0.9068
16.3302,0.9287
12.6345,1.3400
15.9356,0.9165
14.9151,0.7003
15.1476,0.8759
15.1464,0.8773
16.8675,1.0864
16.6059,1.1924
15.2415,0.8436
14.1056,0.4038
14.7913,0.9019
14.8654,0.8993
16.2371,0.9669
16.2269,0.9461
17.9788,1.6352
14.7993,0.8870
14.8781,0.7858
16.2664,1.0834
15.0466,0.8562
15.5242,0.7730
16.7957,1.0649
16.0887,0.8739
14.9100,0.8747
17.7480,1.2958
16.0849,0.9911
17.6605,1.2713
14.9196,0.8800
16.2688,0.9754
15.4739,0.8597
16.6929,1.0954
14.8926,0.8734
15.2456,0.8807
15.5986,0.9730
16.0404,0.9232
14.3578,0.7915
14.0634,0.7643
15.0145,0.8875
17.4835,1.2648
15.6728,0.8905
15.3633,0.8890
16.4550,0.9867
15.9884,0.9312
16.9533,1.1338
16.8571,1.2802
15.3725,0.8618
15.0278,1.2194
15.9859,0.9750
15.1149,0.8830
14.7736,0.9225
17.5051,1.2632
16.0905,0.9521
17.5486,1.5531
14.5927,0.6537
16.1558,0.9649
15.2455,0.8638
16.4987,0.9766
17.6186,1.5152
14.3938,1.2191
14.0482,0.7030
17.2741,1.2121
14.9413,0.8606
16.8849,1.0787
15.8822,0.9588
17.9870,1.3715
14.1021,1.2391
14.1273,1.2387
17.5200,1.2766
13.9138,0.6640
14.7411,0.9363
14.6398,1.2437
16.7575,1.0502
16.8987,1.0833
15.0826,0.8797
16.4666,0.9983
16.1340,0.9539
16.7595,1.2191
15.5653,0.8985
16.2434,0.9581
16.3045,1.0441
15.0448,0.8524
14.7539,0.9697
15.5031,0.8707
15.2750,0.7510
16.2384,0.9658
16.7978,1.0790
14.9279,0.8822
15.4508,0.9090
15.6438,0.9188
17.5133,1.2390
16.5536,1.0729
14.8006,1.0145
17.0101,1.1434
15.5684,0.8870
17.1366,1.2841
12.0583,1.4664
16.5130,1.1801
17.4271,1.4704
17.2878,1.2292
15.7604,0.9550
17.8812,1.3784
17.0388,1.1167
14.8697,0.9051
15.6081,0.9698
16.8056,1.0640
15.4463,0.8674
15.9108,0.8923
17.2550,1.2913
15.1371,0.8854
16.1133,1.0678
16.6247,1.0230
15.9287,0.9255
17.5601,1.2037
16.7942,1.0630
13.3943,1.1592
16.2805,0.9947
17.3345,1.2181
16.3799,0.9746
15.3945,0.8665
15.9355,0.9298
17.7084,1.3133
13.8931,1.2503
16.0825,0.9206
15.6743,0.8995
16.2121,1.0543
16.6796,1.0586
17.5311,1.2374
15.1935,0.8742
17.1959,1.5043
16.1025,0.9678
15.6376,0.9089
16.1549,1.0914
14.8404,1.0591
17.0903,1.2232
14.1942,1.2353
15.5835,0.8856
14.9820,0.8551
14.8655,0.8796
17.0632,1.1385
14.0444,1.1821
16.4071,0.9634
14.8718,0.8817
14.8952,0.8821
16.3681,0.9909
17.4790,1.2314
16.0811,0.9601
17.2081,1.2313
15.0961,0.8542
17.6433,1.2942
15.4065,0.8780
15.1417,0.9085
16.9370,1.0867
17.4202,1.4269
16.7715,1.0646
15.1206,0.8750
16.8402,1.1625
13.5950,1.2719
15.0973,0.8762
17.3712,1.4250
17.0048,1.1172
14.8946,0.8882
17.1090,1.1726
17.6420,1.2804
16.2971,0.9819
15.8517,0.8907
14.7568,0.9329
15.5287,0.9715
15.6683,0.8794
16.1495,1.0497
14.7544,0.9600
14.8522,1.0617
14.8927,1.1505
14.8160,0.9001
13.7483,0.6773
15.7425,0.8759
17.9167,1.6999
17.2574,1.1453
16.1464,0.9674
15.3803,0.8709
16.6119,1.0131
15.9462,0.9170
16.5778,1.0941
16.3822,0.9845
14.6833,1.2043
12.6623,1.3834
17.5788,1.4907
